open_time,open,high,low,close,close_time
1729814400000,69458.09678014,70041.33374468,66684.73841844,67823.96393617,1729900799999
1729900800000,67823.76968085,68556.46287943,67531.74851064,68202.83113008,1729987199999
1729987200000,68202.82966667,69543.65955319,68047.00055319,69226.90998582,1730073599999
1730073600000,69226.90998582,71601.27370922,68787.75441844,71237.1818156,1730159999999
1730160000000,71237.1818156,75050.50776596,71034.97975887,74185.01030496,1730246399999
1730246400000,74185.01158156,74386.40495035,72864.35094326,73749.64033333,1730332799999
1730332800000,73749.63969504,74075.42516312,70922.09079433,71556.262,1730419199999
1730419200000,71556.262,72889.01565957,69995.95142553,70647.58060284,1730505599999
1730505600000,70647.18205674,71063.60151871,70064.28212057,70445.46322084,1730591999999
1730592000000,70445.52981658,70468.11202837,68490.14724113,69799.34560993,1730678399999
1730678400000,69799.19369504,70568.64468794,67784.01723404,68809.76543262,1730764799999
1730764800000,68809.70351773,71570.46432624,68410.39875177,70354.88131206,1730851199999
1730851200000,70354.88195035,77678.2232766,70284.72273759,76834.3018156,1730937599999
1730937600000,76834.31819858,78217.20477305,75674.17485816,77183.48584397,1731023999999
1731024000000,77183.77137589,78532.07396454,76892.67644901,77792.79999619,1731110399999
1731110400000,77792.81463034,78240.90304255,76969.05228369,78009.97579604,1731196799999
1731196800000,78009.96303008,83090.21231915,77807.97323404,81972.96224823,1731283199999
1731283200000,81971.09097163,91411.18434752,81814.60510638,90469.61995035,1731369599999
1731369600000,90469.44909929,91978.0331773,87095.93706383,89517.38065248,1731455999999
1731456000000,89517.39065248,95095.86562879,87616.78985816,91982.69752273,1731542399999
1731542400000,91982.69888636,93377.41426515,88076.3762803,88766.9198511,1731628799999
1731628800000,88766.9198511,93414.13594044,88496.49875,92559.43503135,1731715199999
1731715200000,92559.43503135,93329.71391066,91612.00467085,92117.96738636,1731801599999
1731801600000,92127.27693182,93044.67075,90281.63281061,91490.07803788,1731887999999
1731888000000,91490.07803788,94290.12749242,90918.67287879,92054.22679545,1731974399999
1731974400000,92054.21752273,95606.82666667,91943.44105016,93874.39615152,1732060799999
1732060800000,93916.18407576,96470.64545455,93032.78756061,95846.69665909,1732147199999
1732147200000,95846.69665909,100632.32596212,95610.3595303,99964.40664394,1732233599999
1732233600000,99964.3952803,101223.45653705,98777.52851773,100464.09604255,1732319999999
1732320000000,100465.54322695,100488.38608511,98658.41675887,99245.04230496,1732406399999
1732406400000,99245.3494539,100210.00321277,97234.69803546,99430.25611348,1732492799999
1732492800000,99430.09913475,100462.39403546,94032.80574468,94410.33895084,1732579199999
1732579200000,94405.76192957,96414.90800709,92066.4272695,93267.83224113,1732665599999
1732665600000,93268.16585816,98595.65194424,93093.53821986,97242.6729078,1732751999999
1732752000000,97242.43524823,97985.23363121,95965.82241135,97172.24189362,1732838399999
1732838400000,97172.24189362,100198.98743947,96857.84509929,98930.20451773,1732924799999
1732924800000,98930.07947518,98931.10213475,97535.38093617,97855.3317234,1733011199999
1733011200000,97855.32746809,99251.13149645,97076.11511348,98664.59349645,1733097599999
1733097600000,98664.90987943,99620.37334752,95650.0797234,97074.5305461,1733183999999
1733184000000,97074.47480142,97565.04470213,94663.23458156,97113.3811773,1733270399999
1733270400000,97113.55224113,100344.02029078,95813.70008511,99921.16630496,1733356799999
1733356800000,99921.16630496,105608.81104255,92674.39101894,98240.63297163,1733443199999
1733443200000,98240.63233333,103201.32353191,97594.17240426,101037.29100709,1733529599999
1733529600000,101037.29164539,101779.65836879,100077.18976596,100981.81432624,1733615999999
1733616000000,100981.44723404,102608.00573759,99748.50985106,102364.52636879,1733702399999
1733702400000,102364.47232624,102461.68691489,95228.73470922,98255.17757153,1733788799999
1733788800000,98253.67820983,99109.92438004,95019.90337589,97388.68279433,1733875199999
1733875200000,97388.43953901,102709.76311348,96412.09065248,101926.02924113,1733961599999
1733961600000,101926.02924113,103345.90159941,100021.55032624,100707.67058865,1734047999999
1734048000000,100707.84292908,102517.27603815,99883.28346809,102027.0421844,1734134399999
1734134400000,102027.0421844,103254.91158156,101130.18562411,101955.71281595,1734220799999
